Frequency - Amplitude	Voltage amplitude - Amplitude
2814.72	1.57108
2815.81	1.56241
2816.61	1.55367
2817.77	1.54384
2818.76	1.53503
2819.54	1.52571
2820.68	1.51492
2821.7	1.50523
2822.65	1.4955
2823.81	1.48388
2824.63	1.4733
2825.91	1.46119
2826.71	1.451
2827.66	1.44055
2828.85	1.42788
2829.87	1.41735
2830.62	1.4061
2831.76	1.39336
2832.66	1.38179
2833.96	1.36869
2834.88	1.35721
2835.73	1.34589
2836.74	1.33273
2837.77	1.32178
2838.74	1.31063
2839.89	1.29738
2840.76	1.28599
2841.85	1.27227
2842.85	1.26163
2843.81	1.25038
2844.77	1.23742
2845.7	1.2265
2846.79	1.21558
2847.9	1.20245
2848.7	1.19245
2849.69	1.18155
2850.74	1.16976
2851.66	1.15936
2852.76	1.14806
2853.73	1.13844
2854.61	1.12899
2855.79	1.11793
2856.62	1.10867
2857.55	1.1001
2858.64	1.09046
2859.44	1.08191
2860.71	1.07241
2861.61	1.06452
2862.47	1.05724
2863.56	1.0487
2864.49	1.04176
2865.26	1.03556
2866.49	1.02742
2867.45	1.02201
2868.2	1.01642
2869.36	1.01004
2870.2	1.00481
2871.29	0.999887
2872.14	0.995277
2873.15	0.991266
2874.06	0.986701
2875.05	0.983262
2875.93	0.980292
2876.94	0.976876
2877.82	0.974479
2878.99	0.971611
2879.87	0.969596
2880.8	0.968031
2881.94	0.965965
2882.68	0.965477
2883.56	0.964447
2884.62	0.963991
2885.61	0.964233
2886.35	0.963848
2887.62	0.964546
2888.52	0.96497
2889.45	0.965883
2890.4	0.966911
2891.24	0.96758
2892.36	0.969821
2893.26	0.971343
2894.27	0.973428
2895.23	0.975679
2896.19	0.977902
2897.37	0.980818
2898.23	0.983545
2899.15	0.986516
2900.16	0.989934
2901.09	0.993143
2901.83	0.995875
2903.04	1.00003
2903.94	1.00368
2904.89	1.00714
2906.03	1.01189
2906.99	1.01571
2908.06	1.02032
2908.87	1.02403
2909.81	1.02871
2910.89	1.03401
2911.98	1.03799
2912.76	1.04212
2913.82	1.04788
2914.89	1.05225
2915.93	1.05766
2916.91	1.0625
2917.83	1.06719
2918.97	1.0731
2919.95	1.07762
2920.71	1.08289
2921.83	1.08845
2922.84	1.09388
2923.82	1.09845
2924.77	1.10462
2925.68	1.10975
2926.79	1.11594
2927.82	1.12129
2928.65	1.12631
2929.85	1.13252
2930.82	1.13791
2931.64	1.14269
2932.85	1.14893
2933.82	1.15471
2934.88	1.16078
2935.77	1.16602
2937.81	1.17798
2938.73	1.18281
2939.8	1.18803
2940.8	1.19467
2941.81	1.19984
2943.8	1.21142
2944.86	1.21595
2945.79	1.22283
2946.81	1.2278
2947.73	1.23283
2948.88	1.239
2949.91	1.24404
2950.74	1.24897
2951.87	1.25515
2952.87	1.26046
2953.9	1.26666
2954.92	1.27124
2955.81	1.27641
2956.99	1.28258
2957.91	1.2876
2958.82	1.29234
2959.99	1.2984
2960.84	1.30275
2961.77	1.30844
2962.93	1.31407
2963.84	1.31886
2964.97	1.3244
2965.92	1.3293
2966.92	1.33412
2967.94	1.33968
2968.87	1.34472
2969.84	1.34942
2970.95	1.35513
2971.93	1.35953
2973	1.36533
2973.82	1.36992
2974.89	1.37444
2976.04	1.38026
2976.99	1.38428
2977.88	1.38904
2979.08	1.39402
2980.02	1.39846
2980.9	1.40269
2982.06	1.40785
2982.93	1.41254
2984.1	1.4174
2984.99	1.42196
2985.99	1.4259
2987.01	1.4309
2988.01	1.43487
2989.01	1.43929
2990.08	1.4441
2991.05	1.44791
2992.27	1.45273
2993.09	1.45675
2993.94	1.46007
2995.15	1.4656
2996.05	1.46908
2997.05	1.47292
2998.1	1.4778
2999.12	1.48157
2999.99	1.48559
3001.18	1.48982
3002.03	1.49312
3003.2	1.49786
3004.11	1.50153
3005.07	1.50534
3006.15	1.50959
3007.13	1.51356
3008.09	1.51695
3009.21	1.52105
3010.12	1.52493
3011.25	1.52936
3012.25	1.53241
3013.09	1.53532
3014.24	1.53975
3015.23	1.5426
3016.1	1.54641
3017.2	1.55032
3018.2	1.5535
3019.3	1.55738
3020.19	1.56064
3021.16	1.56391
3022.34	1.56781
3023.2	1.57109
3024.16	1.57386
3025.31	1.57756
3026.27	1.58089
3027.2	1.5837
3028.3	1.58758
3029.21	1.59002
3030.29	1.59336
3031.34	1.59695
3032.22	1.59943
3033.29	1.60273
3034.16	1.60569
3035.11	1.60829
3036.29	1.61179
3037.33	1.61428
3038.33	1.61779
3039.39	1.62007
3040.24	1.623
3041.42	1.62599
3042.28	1.62856
3043.27	1.63094
3044.27	1.6341
3045.3	1.63691
3046.25	1.63928
3047.38	1.64252
3048.28	1.64466
3049.4	1.64787
3050.3	1.64998
3051.3	1.65239
3052.45	1.65544
3053.33	1.65767
3054.26	1.65963
3055.43	1.6627
3056.31	1.66508
3057.42	1.66794
3058.37	1.67009
3059.37	1.67225
3060.44	1.67512
3061.39	1.67676
3062.26	1.67892
3063.42	1.68165
3064.36	1.68352
3065.4	1.68542
3066.4	1.68843
3067.38	1.69045
3068.48	1.69269
3069.36	1.69512
3070.38	1.69685
3071.48	1.69911
3072.43	1.7016
3073.41	1.70311
3074.45	1.70571
3075.43	1.70753
3076.58	1.70975
3077.53	1.71141
3078.38	1.71376
3079.51	1.71577
3080.55	1.71733
3081.4	1.71954
3082.53	1.72152
3083.42	1.72352
3084.37	1.72531
3085.47	1.72746
3086.43	1.72939
3087.61	1.73118
3088.49	1.73312
3089.51	1.73477
3090.55	1.73679
3091.5	1.7382
3092.43	1.74007
3094.48	1.74363
3095.59	1.74579
3096.54	1.74706
3097.5	1.74904
3098.64	1.75085
3099.53	1.75205
3100.39	1.75388
3101.55	1.75584
3102.57	1.75735
3103.47	1.75871
3104.58	1.76082
3105.52	1.76199
3106.57	1.76414
3107.51	1.76537
3108.5	1.76692
3109.66	1.76859
3110.6	1.76976
3111.47	1.77136
3112.64	1.77266
3113.5	1.77446
3114.6	1.77633
3115.57	1.77738
3116.51	1.77878
3117.62	1.7803
3118.6	1.7815
3119.4	1.78313
3120.59	1.78459
3121.58	1.78584
3122.5	1.78691
3123.56	1.78862
3124.5	1.79022
3125.56	1.79192
3126.57	1.7928
3127.56	1.79404
3128.62	1.79516
3129.61	1.79649
3130.53	1.79774
3131.64	1.79927
3132.56	1.80047
3133.65	1.80208
3134.6	1.80313
3135.59	1.80436
3136.67	1.80571
3137.61	1.80684
3138.54	1.80787
3139.71	1.8093
3140.65	1.81003
3141.53	1.81127
3142.64	1.81266
3143.62	1.81339
3144.72	1.81487
3145.67	1.81574
3146.63	1.81706
3147.72	1.8183
3148.64	1.81967
3149.61	1.82037
3150.69	1.82163
3151.68	1.82223
3152.79	1.82351
3153.65	1.82458
3154.63	1.82549
3155.7	1.82692
3156.61	1.828
3157.57	1.82892
3158.68	1.82993
3159.71	1.83072
3160.57	1.8317
3161.62	1.83288
3162.67	1.83385
3163.81	1.83493
3164.73	1.83572
3165.64	1.83652
3166.73	1.83775
3167.65	1.83835
3169.75	1.84054
3170.65	1.84151
3171.81	1.84258
3172.69	1.843
3173.65	1.84413
3174.77	1.84497
3175.72	1.84589
3176.62	1.84684
3177.78	1.84745
3178.65	1.84836
3179.59	1.84934
3180.79	1.84981
3181.68	1.85075
3182.83	1.85179
3183.73	1.85245
3184.72	1.85336
3185.77	1.8541
3186.76	1.85468
3187.66	1.85563
3188.74	1.85663
3189.71	1.85716
3190.83	1.85808
3191.72	1.85881
3192.72	1.8597
3193.83	1.8604
3194.74	1.86094
3195.64	1.86172
3196.8	1.86245
3197.77	1.86288
3198.87	1.86403
3199.84	1.86473
3200.68	1.86559
3201.85	1.86615
3202.8	1.86697
3203.73	1.86755
3204.81	1.86827
3205.78	1.86914
3206.77	1.86966
3207.73	1.87055
3208.77	1.87099
3209.77	1.87179
