Frequency - Amplitude	Voltage amplitude - Amplitude
3456.08	1.65222
3458.11	1.65366
3460.11	1.65497
3461.99	1.65605
3464.04	1.65735
3466.07	1.65846
3468.19	1.65991
3470.07	1.66106
3472.12	1.66226
3474.2	1.66366
3476.18	1.6644
3478.1	1.66574
3480.08	1.66679
3482.19	1.66806
3484.06	1.66916
3486.02	1.67018
3488.13	1.67151
3490.17	1.67247
3492.22	1.67352
3494.19	1.67478
3496.04	1.67572
3498.22	1.67731
3500.12	1.67815
3502.11	1.67939
3504.14	1.6803
3506.26	1.6814
3508.1	1.68233
3510.15	1.68365
3512.19	1.68472
3514.2	1.68541
3516.05	1.68669
3518.1	1.68737
3520.14	1.68858
3522.27	1.68959
3524.08	1.69048
3526.15	1.69175
3528.23	1.69243
3530.14	1.69362
3532.09	1.6944
3534.2	1.69548
3536.19	1.69664
3538.17	1.69753
3540.17	1.69843
3542.14	1.69952
3544.19	1.70024
3546.12	1.70158
3548.14	1.70211
3550.18	1.70346
3552.18	1.70417
3554.09	1.70523
3556.1	1.70623
3558.14	1.70688
3560.21	1.70791
3562.12	1.70845
3564.21	1.70976
3566.22	1.71065
3568.28	1.71154
3570.07	1.7125
3572.18	1.71306
3574.16	1.71427
3576.25	1.71506
3578.03	1.7155
3580.21	1.71656
3582.29	1.71775
3584.08	1.71823
3586.09	1.71893
3588.2	1.71988
3590.19	1.72077
3592.09	1.72146
3594.16	1.72232
3596.17	1.72315
3598.26	1.72394
3600.13	1.7246
3602.19	1.72553
3604.24	1.72645
3606.22	1.72687
3608.08	1.72777
3610.17	1.7284
3612.23	1.72956
3614.22	1.73013
3616.12	1.7308
3618.16	1.73162
3620.22	1.73243
3622.08	1.73317
3624.09	1.73389
3626.16	1.73438
3628.16	1.7353
3630.09	1.73625
3632.12	1.73682
3634.17	1.73764
3636.24	1.73818
3638.13	1.73888
3640.13	1.73981
3642.25	1.74058
3644.22	1.74124
3646.13	1.7419
3648.17	1.74253
3650.19	1.74309
3652.28	1.74388
3654.11	1.74462
3656.16	1.74573
3658.22	1.74575
3660.06	1.74652
3662.15	1.74735
3664.25	1.74779
3666.22	1.74875
3668.14	1.7491
3670.19	1.74951
3672.19	1.75074
3674.26	1.75129
3676.15	1.75168
3678.18	1.75246
3680.2	1.75327
3682.3	1.75362
3684.21	1.75424
3686.2	1.75498
3688.18	1.75559
3690.3	1.75655
3692.1	1.75669
3694.2	1.75772
3696.26	1.75767
3698.15	1.75857
3700.11	1.75929
3702.23	1.75969
3704.21	1.76051
3706.12	1.76098
3708.16	1.76147
3710.24	1.76188
3712.29	1.76265
3714.13	1.7632
3716.16	1.76386
3718.17	1.76428
3720.24	1.76516
3722.1	1.76555
3724.2	1.76579
3726.24	1.76646
3728.26	1.76658
3730.09	1.7676
3732.18	1.76813
3734.2	1.76887
3736.14	1.76943
3738.15	1.76982
3740.23	1.7702
3742.22	1.77081
3744.07	1.77117
3746.17	1.77195
3748.22	1.77231
3750.24	1.7727
3752.12	1.77324
3756.19	1.77456
3758.22	1.77498
3760.12	1.77536
3762.22	1.77603
3764.19	1.7764
3766.32	1.77672
3768.11	1.77755
3770.2	1.77797
3772.27	1.77842
3774.3	1.77898
3776.13	1.77944
3778.24	1.7799
3780.28	1.78023
3782.1	1.78057
3784.15	1.78094
3786.17	1.78172
3790.13	1.78235
3792.11	1.78292
3794.21	1.78346
3796.25	1.78397
3798.14	1.78441
3800.18	1.78491
3802.2	1.78512
3804.26	1.78586
3806.14	1.7862
3808.11	1.78649
3810.28	1.78712
3812.28	1.78729
3814.1	1.78815
3816.17	1.78848
3818.3	1.78879
3818.21	1.78883
3822.16	1.79004
3824.23	1.78993
3826.26	1.79056
3828.09	1.79051
3830.2	1.79087
3832.19	1.79136
3834.27	1.79187
3836.13	1.79234
3838.14	1.7928
3840.21	1.79334
3842.19	1.79359
3844.17	1.7941
3846.15	1.79479
3848.15	1.79487
3850.21	1.79524
3852.18	1.79546
3854.2	1.79604
3856.23	1.79642
3858.09	1.79701
3860.09	1.79691
3862.21	1.79767
3864.16	1.79811
3866.02	1.7982
3868.15	1.79879
3870.15	1.79892
3872.2	1.79953
3874.09	1.79998
3876.14	1.80036
3878.2	1.80084
3880.26	1.80101
3882.04	1.80142
3884.11	1.80166
3886.21	1.802
3888.15	1.8026
3890.13	1.80278
3892.14	1.80284
3894.17	1.80332
3895.99	1.80393
3898.06	1.80416
3900.07	1.80466
3902.21	1.80473
3904.06	1.80542
3906.1	1.80554
3908.14	1.80589
3910.22	1.80617
3911.99	1.80664
3914.04	1.80684
3916.17	1.80756
3918.18	1.80778
3920.11	1.80781
3922.14	1.80821
3924.15	1.80853
3926.17	1.80888
3928.08	1.80918
3930.17	1.80956
3932.18	1.80988
3934.24	1.81026
3936.03	1.81071
3938.11	1.81085
3940.21	1.81099
3942.06	1.81136
3944.14	1.81149
3946.17	1.81214
3948.11	1.81228
3950.07	1.81269
3952.11	1.81296
3954.16	1.81321
3956.19	1.81382
3958.06	1.81413
3959.98	1.81438
3962.13	1.81466
3964.2	1.81455
3966.02	1.81515
3968.05	1.81543
3970.09	1.81568
3972.26	1.81583
3974.14	1.81625
3976.05	1.81648
3978.14	1.81666
3979.99	1.81699
3982.13	1.81739
3984.08	1.81754
3986.16	1.81795
3988.08	1.81802
3990.01	1.81865
3992.16	1.81885
3994.16	1.81895
3995.96	1.81939
3998.03	1.81982
4000.14	1.82024
4002.18	1.82041
4003.96	1.82043
4006.06	1.82088
4008.07	1.82096
4010.14	1.82141
4011.92	1.8216
4014.11	1.82172
4016.17	1.82208
4017.99	1.82239
4020.06	1.82261
4022.12	1.823
4024.16	1.8233
4025.96	1.82308
4028.02	1.82353
4030.03	1.82407
4032.16	1.82419
4033.99	1.82437
4036.07	1.82473
4038.14	1.82486
4040.18	1.82511
4041.98	1.82527
4044.09	1.82557
4046.08	1.82566
4048.15	1.82604
4050.06	1.82617
4052.04	1.82658
4054.19	1.82696
4055.92	1.82689
4058.05	1.82716
4060.02	1.82759
4062.14	1.8278
4063.96	1.8278
4066.05	1.82819
4068.07	1.82868
4070.15	1.8288
4071.98	1.82918
4074.08	1.8294
4076.07	1.82956
4078.12	1.82997
4080.01	1.82976
4082.07	1.83001
4084.13	1.83017
4086.14	1.83075
4087.99	1.83085
4089.98	1.83106
4092.11	1.83116
4094.05	1.83154
4095.96	1.83177
4098.03	1.83203
4100.07	1.83203
4101.96	1.83214
4104.04	1.83253
4106.12	1.83282
4108.08	1.83281
4109.97	1.833
4112.03	1.83318
4114.07	1.83369
4116.12	1.83385
4118.01	1.83388
4120	1.83409
4122.18	1.83444
4124.15	1.8348
4125.95	1.83475
4128.07	1.83504
4130.03	1.835
4132.18	1.83533
4133.99	1.83549
4136.1	1.83571
4138.12	1.83611
4139.9	1.83613
4142.01	1.83635
4144.03	1.83647
4146.12	1.83689
4147.93	1.83682
4150.02	1.83697
4152.14	1.83717
4154.13	1.83752
4156.02	1.83767
4158.07	1.83805
4160.11	1.83801
4162.15	1.83824
4164.03	1.8383
4166.06	1.8384
4168.09	1.83854
4170.14	1.83877
4172.02	1.83927
4174.05	1.83933
4176.13	1.83975
4177.97	1.83976
4180.02	1.84
4182	1.84
4184.15	1.84011
4185.99	1.8406
4188	1.8405
4190.09	1.84057
4192.08	1.8409
4193.95	1.84146
4196.02	1.84148
4198.08	1.84171
4200.13	1.84135
4201.97	1.84192
4204.07	1.8423
4206.03	1.84204
4208.11	1.84212
4210.02	1.84225
4212.09	1.84272
4214.05	1.84266
4215.9	1.84296
4217.98	1.8433
4220.04	1.84338
4222.11	1.84343
4224	1.84372
4226	1.84376
4228.07	1.84407
4230.14	1.8443
4231.98	1.84442
4234.04	1.8443
4236.09	1.84473
4238.16	1.84466
4240	1.84487
4242.04	1.84484
