Frequency - Amplitude	Voltage amplitude - Amplitude
18680.1	1.09348
18700	1.10628
18720.1	1.11908
18740.1	1.13209
18760.2	1.14533
18780	1.15859
18800.2	1.17171
18820.1	1.18487
18840.1	1.19804
18860.1	1.21134
18880.1	1.22458
18900.2	1.2373
18920.1	1.2503
18940.1	1.26271
18960.1	1.27527
18980.1	1.28774
19000	1.30003
19000	1.29925
19040.1	1.32389
19060.2	1.33557
19080.2	1.34701
19100.1	1.35831
19120.2	1.36936
19140.1	1.37998
19160.1	1.39089
19180.2	1.4012
19200.2	1.4114
19220.2	1.42154
19240.2	1.43113
19260.2	1.44083
19280.3	1.45029
19300.3	1.45927
19320.1	1.46833
19340.2	1.47744
19360.1	1.48583
19380.3	1.49419
19400.2	1.50268
19420.1	1.5105
19440.2	1.51829
19460.2	1.52581
19480.1	1.53334
19500.1	1.54072
19520.1	1.54757
19540.2	1.5549
19560.1	1.56131
19580.1	1.56821
19600.2	1.5745
19620.2	1.58095
19640.1	1.58705
19660.2	1.59349
19680.1	1.59919
19700.2	1.60476
19720.1	1.61023
19740.1	1.61564
19760.3	1.62117
19780.1	1.62639
19800.1	1.63156
19820.2	1.63641
19840.2	1.6413
19860.3	1.6463
19880.2	1.6504
19900.1	1.65543
19920.3	1.65951
19940.1	1.66439
19960.2	1.66813
19980.2	1.67224
20000.1	1.67601
20020.3	1.68049
20040.2	1.68398
20060.1	1.68773
20080.2	1.69171
20100.1	1.69499
20120.1	1.69823
20140.2	1.70189
20160.1	1.70511
20180.3	1.70848
20200.2	1.71165
20220.1	1.7149
20240.2	1.71774
20260.2	1.72093
20280.1	1.72344
20300.3	1.72664
20320.2	1.72925
20340.3	1.73209
20360.2	1.7346
20380.2	1.73716
20400.2	1.73997
20420.2	1.74218
20440.1	1.74461
20460.3	1.74702
20480.1	1.74933
20500.3	1.75165
20520.1	1.75403
20540.2	1.75597
20560.3	1.75811
20580.1	1.76046
20600	1.76219
20620.2	1.76428
20640.1	1.76634
20660.3	1.76822
20680.2	1.77005
20700.1	1.77201
20720.2	1.77376
20740.2	1.77537
20760.2	1.77702
20780.3	1.77885
20800.1	1.78058
20820.2	1.78217
20840.2	1.78366
20860.2	1.7854
20880.2	1.78661
20900.1	1.78811
20920.1	1.78951
20940.2	1.79142
20960.1	1.79281
20980.3	1.79402
21000.2	1.79532
21020.1	1.79665
21040.3	1.79808
21060.2	1.79937
21080.1	1.80072
21100.3	1.8019
21120.2	1.80297
21140.3	1.80428
21160.2	1.80537
21180.2	1.80655
21200.3	1.80772
21220.2	1.80853
21240.1	1.80994
21260.2	1.81098
21280.1	1.81231
21300.3	1.81321
21320.2	1.81429
21340.1	1.81524
21360.3	1.81631
21380.2	1.81721
21400.1	1.8183
21420.3	1.81932
21440.2	1.82009
21460	1.82066
21480.2	1.82168
21500.2	1.82253
21520.3	1.82357
21540.2	1.82427
21560.1	1.82515
21580.2	1.82613
21600.2	1.82688
21620.1	1.82755
21640.2	1.82797
21660.1	1.829
21680.2	1.82978
21700.2	1.83066
21720.1	1.83134
21740.3	1.83211
21760.1	1.83293
21780.1	1.83335
21800.2	1.83411
21820.2	1.83483
21840.2	1.83524
21860.2	1.836
21880.1	1.83656
21900.2	1.83728
21920.2	1.83783
21940.1	1.83856
21960.2	1.83925
21980.1	1.8397
22000.3	1.84054
22020.2	1.84077
22040.1	1.84137
22060.2	1.84189
22080.1	1.84265
22100.1	1.84307
22120.2	1.84375
22140.1	1.84428
22160.3	1.84476
22180.2	1.84537
22200.1	1.84601
22220.2	1.84638
22240.2	1.84686
22260	1.84721
22280.2	1.8477
22300.1	1.84821
22320.3	1.84859
22340.2	1.84929
22360.1	1.84969
22380.3	1.85004
22400.2	1.85025
22420.1	1.85107
22440.2	1.85132
22460.1	1.85216
22480.3	1.85228
22500.2	1.85267
22520.1	1.85292
22540.3	1.85361
22560.2	1.85388
22580.1	1.85434
22600.2	1.85447
22620.2	1.85496
22640.3	1.85525
22660.2	1.85582
22680.2	1.8561
22700.2	1.85602
22720.2	1.85647
22740.2	1.85697
22760.2	1.85752
22780.1	1.85763
22800.3	1.8582
22820.2	1.85849
22840.2	1.85863
22860.3	1.85924
22880.1	1.85988
22900.1	1.8596
22920.2	1.85979
22940.1	1.86013
22960.3	1.86057
22980.2	1.8612
23000.2	1.86125
23020.3	1.86123
23040.2	1.86164
23060.1	1.86224
23080.2	1.86243
23100.1	1.86293
23120.3	1.86291
23140.2	1.8631
23160.1	1.8636
23180.3	1.86371
23200.2	1.86433
23220.1	1.86451
23240.2	1.86488
23260.1	1.86483
23280.3	1.86499
23300.2	1.86516
23320.2	1.86573
23340.3	1.86567
23360.2	1.86626
23380.1	1.86637
23400.2	1.86644
23420.2	1.86657
23440.3	1.86689
23460.3	1.86743
